Plant_ID,Temperature_C,Humidity_%,Soil_Moisture_%,Soil_pH,Nutrient_Level,Light_Intensity_lux,Health_Score,Health_Status,Moisture_Zone,Temperature_Zone,Humidity_Zone,Light_Zone,Moisture_Zone_Stress,Temperature_Zone_Stress,Humidity_Zone_Stress,Light_Zone_Stress,Abiotic_Stress_Score_L2,Disease_Presence,Pest_Infestation,Biotic_Stress_Score_L2,Total_Stress_Score_L2,Stress_Category
Plant_20,20.763088895994127,64.24165946401916,26.41112407719791,6.77587039995546,49.119087559709264,21194.441795367613,89.63925423055571,1,Low,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_21,29.39694630676466,65.228354880355,45.89898945399492,7.100130874869414,71.69936588080543,19826.27675036928,82.49450945930072,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_22,24.3226710985404,54.26299996061421,49.16065406937288,6.2684193189573,35.76317363116077,17794.649597826236,83.99228192939327,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_23,25.20258461406377,59.756454077390174,65.40987893757976,6.294286696441999,31.48157268425341,19442.22655715369,104.92183998600689,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_24,20.72575544135963,81.42270358611864,25.36769401321332,7.076950367127874,57.83589664798607,15201.815713417063,77.24878571744954,1,Low,Optimal,High,Optimal,1,0,1,0,2,1,0,1,3,Combined
Plant_25,23.36685182642445,77.27543170100711,-0.2926823373123781,5.5651291501522895,43.21356938705897,26831.25949415992,76.82239105982605,1,Optimal,Optimal,High,High,0,0,1,1,2,1,0,1,3,Combined
Plant_26,25.3327677691296,64.36323669674032,47.75774317130542,6.305739612408496,46.8176247225738,16296.464004732812,81.16578512012464,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_27,21.54701926773309,60.380034781682,72.0076677226628,6.595211944962529,42.18843621868886,16904.10114845846,90.7151593558104,1,High,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_28,26.127094055037016,61.200313267182615,63.58419529409156,6.724609360642517,47.40199859232487,18679.2223868408,64.93465969809601,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_29,23.198083930243584,66.13517972730416,48.14489122911939,6.245096653404559,65.98538112096341,23864.22717455713,60.34444108523495,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_30,24.124918750620168,49.77207434801595,37.62545721551929,6.5172205058529205,58.0212845861812,20043.52699778796,74.12884729379853,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_31,23.194880163311808,57.42623462576655,57.10683894955966,5.255836323293505,58.62223511886977,16291.592611908613,63.66077040940713,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_32,30.55683455352681,43.314159261224106,30.39680700443297,6.170875793833076,35.837729442073545,23763.015082272017,75.75168652474362,1,Optimal,High,Optimal,Optimal,0,1,0,0,1,0,0,0,1,Abiotic-only
Plant_33,24.9595083257862,63.9922312260528,52.14536654034329,6.726754356277234,38.4884626344713,22193.001880356445,85.0249969612929,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,1,1,1,Biotic-only
Plant_34,21.8268672131323,66.4719593970274,52.5820523874994,6.008852982872661,21.60921340514573,21615.30487164936,71.09251136447736,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,1,1,1,Biotic-only
Plant_35,27.467634736309567,55.16813537700626,60.90314861248319,6.529492110794799,41.90619178917246,22147.20272351252,65.73173423218657,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_36,21.33746905008693,75.73986763290033,86.39490058366616,6.723436250401349,59.567031863856585,27183.08570174736,80.69337161715347,1,High,Optimal,High,High,1,0,1,1,3,0,0,0,3,Abiotic-only
Plant_37,25.626590785014265,47.74234336997659,50.88623950768151,6.328725399571118,55.16946515748371,26555.284685108338,88.6254348461517,1,Optimal,Optimal,Optimal,High,0,0,0,1,1,0,0,0,1,Abiotic-only
Plant_38,19.120989628360675,45.3562511979018,37.36554561438752,6.585231885498286,47.78486737047877,17939.853970990116,63.05026561483388,0,Optimal,Low,Optimal,Optimal,0,1,0,0,1,0,0,0,1,Abiotic-only
Plant_39,21.015441853304708,62.24451818559972,44.61638531712008,6.018633717357694,49.77699716281947,24871.654978433457,88.20232398305984,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_40,25.59058370760737,70.47098302612154,18.463861426663225,6.396694360151977,43.11114457424594,21149.5045692767,88.17306203738326,1,Low,Optimal,High,Optimal,1,0,1,0,2,1,0,1,3,Combined
Plant_41,27.215399739986232,76.83927691457869,34.579303033664125,6.805108084794611,52.04758882401784,21497.287448413248,89.54085102156628,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_42,25.51410484356991,55.4111573713106,38.86076342830344,6.578486480484217,57.65878279480615,14923.187505070016,92.18480214871688,1,Optimal,Optimal,Optimal,Low,0,0,0,1,1,0,0,0,1,Abiotic-only
Plant_43,24.65305515283528,70.78680833431295,37.13867403098112,6.206734365218033,33.84113212589527,19488.842703835413,102.02013924659616,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_44,24.09668891323213,59.61491530499293,47.28532308050583,6.6121082021453965,52.99647687837348,17561.529228990305,76.43907951380945,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_45,20.56443402889772,58.273727000591805,32.66370101426699,6.857304895318309,59.32434870954667,22484.176444679928,81.09571580077858,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,1,0,1,1,Biotic-only
Plant_46,22.84046737481588,68.83659937486672,61.81546000986707,5.475029360711261,45.84899711036631,23213.241501208417,75.83561566751975,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_47,23.61808368712064,66.52322878413419,45.00310597377295,7.0795370324779485,57.00700612120583,13776.540946951069,80.0197684475581,1,Optimal,Optimal,Optimal,Low,0,0,0,1,1,0,0,0,1,Abiotic-only
Plant_48,28.171366678656742,44.23607843015751,44.86049518292079,6.331872630659464,78.14654444472552,19933.895407987187,95.32873355636312,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_49,26.030854868705383,74.76540349725896,40.08157925230624,6.712744966620115,48.95657207013108,23365.58451438276,66.54985516069331,0,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_50,19.7108795339118,73.80091354147451,47.32786025788469,7.098623461822614,53.93307050005323,19439.963113059664,71.38950327834425,1,Optimal,Low,High,Optimal,0,1,1,0,2,0,0,0,2,Abiotic-only
Plant_51,25.972251908184383,53.74437298490471,57.37647397001452,5.814163151384767,42.61942916338609,22187.190935007093,93.7718093650456,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,1,0,1,1,Biotic-only
Plant_52,23.84475315875105,63.95803533437409,31.993046764336498,6.145279498786227,51.8125116260205,21053.496402881254,90.2003650690209,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_53,22.969233999082125,64.94030186282738,35.12825266387115,6.355725652062148,54.60271624982304,21024.98069585788,76.36868353182922,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_54,26.8350288665226,62.60673765823907,40.44410956835003,6.108123239437786,51.94842340270138,19186.055065795103,88.5440200112072,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_55,28.092998567487854,54.4969484615458,24.81193614790177,7.367468287918404,39.80304680291143,16350.25758759287,83.41215842492034,1,Low,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_56,27.7938403573486,53.283766320619485,32.71113210417754,6.071613953086604,52.06361771325451,16635.409557724917,95.00274609000988,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_57,22.482347430332084,59.74445929008554,37.85668689683011,6.222226610256567,64.62195938717636,22128.05754336595,80.74509593826772,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_58,24.072362872446355,71.72729019259364,58.11583771069091,6.6021945158014885,54.48635764514528,20058.374766556648,90.25632113872582,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,0,0,0,1,Abiotic-only
Plant_59,25.99379029421069,65.43600154594432,48.93841993502888,5.898925236961956,59.619871890718414,19584.463266178325,106.4201191049262,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,1,0,1,1,Biotic-only
Plant_60,27.92663538136708,56.29385667913894,47.90384867051316,6.302159644121868,47.629880299873726,18728.32987303294,85.98099155047467,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_61,23.56247728646413,67.71698710648344,57.76346943251959,6.658726630625088,57.4990023942371,19084.433463557743,80.49328165794843,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_62,24.44302307000855,31.514573793699245,42.93942317400905,6.333569797808744,52.792678382165256,23140.735383464416,87.2244698522098,1,Optimal,Optimal,Low,Optimal,0,0,1,0,1,0,0,0,1,Abiotic-only
Plant_63,21.680995077981915,71.48765700372104,50.85697274893335,6.453306570550025,40.49089270312768,18994.26775439592,76.34719141796116,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,0,0,0,1,Abiotic-only
Plant_64,21.411380127757987,42.60286221221901,43.45167370601256,6.235333943775815,53.18521004798875,15976.805860095294,103.87967705524731,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_65,27.437577467182592,56.37559058596868,48.98043524099442,5.742764845409616,40.0830333655969,22230.95532662052,81.80071037695981,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_66,29.06872008571247,48.803301053738565,36.25862013582627,6.660796605669619,43.67119725115208,19385.370008405847,77.27066679774487,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_67,24.783969635259,47.05318524279095,8.417742625853563,7.377466535823621,51.893283072923744,20094.18759659833,71.64310994979964,1,Low,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_68,28.01059869367608,71.6082678737852,42.98581256720544,6.509200815391719,52.97244273380124,24822.73491919853,90.97220191606438,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_69,26.084908075142906,55.32298798688109,66.3412220414991,6.612632058623775,38.10767534922871,19938.31832794848,88.67187412827738,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_70,23.06464073618463,63.46503881730716,58.89323103362389,6.84636137755843,60.53985771182876,20867.55101935617,75.02645628585907,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_71,26.084186816525243,59.53079421120816,59.48096226886756,5.8653347517266505,55.72006278300473,16463.229526105024,85.76451345122423,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,1,1,1,Biotic-only
Plant_72,29.614109699397908,64.77040827223121,63.54196082709326,7.351257329064802,42.95271564389116,19340.99164294712,64.91444031787144,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_73,24.892521882670145,60.76821891060256,46.32986386442156,6.601164398211401,34.624152035508246,21828.578135625805,81.84970575073156,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_74,29.69393096744201,47.1700777581143,47.959735611083936,7.315928449544554,48.55095420918569,15333.878798476271,84.52756352076695,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,1,1,1,Biotic-only
Plant_75,17.140764687730766,69.9626681944714,35.73522156848475,6.133483502238005,45.5405628613884,20602.53527934713,97.07329809559224,1,Optimal,Low,Optimal,Optimal,0,1,0,0,1,0,0,0,1,Abiotic-only
Plant_76,27.465707513125672,55.06243416838687,40.25890715959425,7.409030961278912,51.13140457053023,20302.37321793442,72.2918119727131,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,1,1,1,Biotic-only
Plant_77,25.261141204714512,44.434181013402494,54.23656724656712,6.887577747017391,46.36883338844434,20123.86236676232,67.21647371197676,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_78,24.1029779486024,55.71884839034088,63.05826655753224,6.77652004292618,29.925431392549903,23111.47669597473,71.04572039074958,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,1,1,1,Biotic-only
Plant_79,25.275282329606508,75.00759790634311,42.90830586478501,6.617012227176574,46.11653061698841,21003.315544545563,66.6343149968508,0,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_80,19.037293256197323,68.50221742113493,38.24716102722883,6.375735690962776,46.94380888931687,24434.21569506933,93.36657357758985,1,Optimal,Low,Optimal,Optimal,0,1,0,0,1,0,0,0,1,Abiotic-only
Plant_81,24.340984336487463,56.51347865592141,45.00791938284896,7.100265829236936,56.33661024774059,17019.231453217893,95.48639295024036,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_82,26.07133771453524,56.50742295681571,54.01810123393672,6.570179934924023,43.0180032538895,20407.773701655045,83.20216577948828,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_83,29.433682134224547,56.783649487826175,23.342177757996872,5.516465148206424,66.78674673372566,20253.40035916984,92.21294945685148,1,Low,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_84,23.44518934517906,80.76747983560841,10.557285702941428,5.941406769146499,30.88359449348243,16792.23651873476,81.33958380580235,1,Low,Optimal,High,Optimal,1,0,1,0,2,1,0,1,3,Combined
Plant_85,22.57451919132044,63.819354522315535,36.74194725762625,6.407077123903626,63.11167497802624,22868.88500627404,79.04888352299234,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_86,23.49472886924639,64.3004164719107,26.68931361128762,6.654999491582777,47.75681029121896,26974.019917558453,76.66962380946238,1,Low,Optimal,Optimal,High,1,0,0,1,2,0,1,1,3,Combined
Plant_87,27.746206353106224,70.30283454031843,37.37789703529034,6.471705755550052,58.595848723435566,19948.981776548502,76.89609008622435,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,0,0,0,1,Abiotic-only
Plant_88,25.986253328979053,62.387891590265134,42.78329521773793,7.109485394896832,50.79801484058733,21515.0632648213,64.52198443690969,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_89,23.410719388698883,57.40957854179297,38.2012738646548,5.524449067980688,61.39555536025469,20253.555427445983,82.64254763607339,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_90,26.539802299340067,58.03650150915022,66.78701301706118,6.57179396825258,46.12638035447189,17859.245990278472,79.59666089785956,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,1,0,1,1,Biotic-only
Plant_91,25.29123264804412,59.28398740585936,49.9011714690348,5.591010387306422,39.01379574822188,14537.719166593952,87.45360724077875,1,Optimal,Optimal,Optimal,Low,0,0,0,1,1,0,0,0,1,Abiotic-only
Plant_92,27.90593497159867,59.627777634901584,49.507115394162426,6.8798561477420845,64.20504287271064,17882.679550713903,80.9352349643861,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_93,22.893840718367944,67.2762954363698,54.33310716065103,6.452770642778999,48.86519354117859,15824.124857144803,78.37296298430908,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,1,0,1,1,Biotic-only
Plant_94,24.017013560206696,60.519458858072994,27.917503233288464,6.709804986012059,52.21558473624211,25112.306234177355,71.2880696999237,1,Low,Optimal,Optimal,High,1,0,0,1,2,0,0,0,2,Abiotic-only
Plant_95,23.823675540603528,67.3264007721558,60.58667681130403,6.068058519705117,62.34751914044795,19654.670918230284,80.72153236821761,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_96,20.609455155603644,59.19283419891418,43.8635357019681,7.139732465828875,39.68044757905565,18962.24201285849,87.38237230816162,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_97,25.88836083119373,60.786351903160906,55.05720925861819,7.0208623320294254,55.95490897639257,22667.46147436342,68.5666100891614,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_98,25.783165816539668,40.01799315467892,28.92214150439767,6.791772151505944,44.10105243537109,16634.746691432338,80.87473753680739,1,Low,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_99,25.015340369927383,69.16327674702481,21.69361850975904,6.435241376568279,48.67830644355628,17699.407885986344,82.33042951529484,1,Low,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_100,24.29623859987456,63.46488475897993,57.26834487037543,6.789928642647566,50.72278965384289,20204.216807745863,72.81935216381736,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_101,20.75388777384876,69.98010109859652,50.64614289146275,6.146553716006325,34.997781385530644,23086.306974270443,74.12143695092,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_102,23.738064031703924,31.037446218063103,31.469226684637345,6.927777829510356,42.211629571795655,21505.055135506365,82.30610848766214,1,Optimal,Optimal,Low,Optimal,0,0,1,0,1,0,0,0,1,Abiotic-only
Plant_103,23.971856450419693,80.88374704780728,31.955053780879584,7.32474044716196,63.51072892413139,20744.975427547648,68.66578981707377,0,Optimal,Optimal,High,Optimal,0,0,1,0,1,0,0,0,1,Abiotic-only
Plant_104,22.593168192335146,58.604103718448265,61.88152176622154,7.035305279989593,58.86191188584796,20234.35320570805,83.49923715249392,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_105,24.51614286500197,71.08182816737516,27.15882160699008,6.135198765096296,49.37360422672765,21200.707566580324,71.046456263408,1,Low,Optimal,High,Optimal,1,0,1,0,2,1,0,1,3,Combined
Plant_106,26.21215257044361,49.60094072874469,69.64009429883944,6.680708658636552,52.43123458512893,20604.95871538777,90.62853693033216,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_107,30.65855770363159,66.12773905062569,31.49068898028197,5.853429228120676,47.05757494363542,16910.08317566919,103.378277453883,1,Optimal,High,Optimal,Optimal,0,1,0,0,1,0,0,0,1,Abiotic-only
Plant_108,25.523733438495515,49.46584436826344,54.57587888412574,6.786195155587838,63.56583385827982,20138.23766489945,71.3924319829818,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_109,25.77265117216829,53.76231039304195,40.07072286376523,6.725301706431269,47.99647422205836,16778.934023246744,85.34207862374674,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_110,24.7766622527015,79.14031353866787,54.047811466235146,5.565091830233918,52.31842092134848,20243.24762870248,72.73258095117981,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_111,19.24368635410288,58.09317599236653,36.83828996828712,5.919108078043818,61.460301441420654,18558.05617553528,90.40954173797788,1,Optimal,Low,Optimal,Optimal,0,1,0,0,1,0,0,0,1,Abiotic-only
Plant_112,24.920458373652348,62.17432873179723,42.558106408915584,6.358430551628117,42.226285151540935,27618.144868348583,67.34741590914786,0,Optimal,Optimal,Optimal,High,0,0,0,1,1,0,0,0,1,Abiotic-only
Plant_113,25.18069062982308,68.70067730688754,45.61378763093582,6.349570126429587,65.58789184496894,19880.316848744864,84.80586758427712,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_114,32.389726337455855,64.95681887972604,29.96718816327791,5.895261532290597,34.69538590256623,15787.281301215233,71.27011033110648,1,Low,High,Optimal,Optimal,1,1,0,0,2,0,0,0,2,Abiotic-only
Plant_115,24.42291710565664,61.504189051435766,56.11236518130189,6.694489364676092,66.29642131112799,19597.459367969223,77.93015410901631,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_116,25.90464202700084,63.64961002466225,37.30179650292622,6.625736804470256,46.27324416048025,21558.076236913665,69.68974724852693,0,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_117,24.89586469088427,84.03415585238275,41.571001269899725,6.4028654340107405,47.57301252174718,25020.09183845757,88.22350470895753,1,Optimal,Optimal,High,High,0,0,1,1,2,1,0,1,3,Combined
Plant_118,21.493965887141403,59.42381202966415,30.08475938087232,6.1221042499208185,31.09989828817057,18231.642800183843,71.63019645560414,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_119,28.42846844354506,62.01099046714968,6.564995118070343,7.024353563208281,45.452052826223074,15252.71607792908,85.51964259331828,1,Low,Optimal,Optimal,Optimal,1,0,0,0,1,0,0,0,1,Abiotic-only
Plant_120,27.25579909806032,70.50654396007612,42.13458356099746,7.327703556544147,39.60193468973116,22450.511034292944,76.55901971737667,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_121,27.373095841129143,71.05525932957984,81.18923132419374,6.258219258076731,43.92353654626528,15858.203882301046,78.85527628201137,1,High,Optimal,High,Optimal,1,0,1,0,2,1,0,1,3,Combined
Plant_122,22.271837635615785,71.8703030556038,56.76906431847036,6.19391654142259,48.6268903421112,18691.533675477545,81.47755907400129,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_123,29.2083829328083,66.38730222029184,44.71109430398408,6.745603832705998,59.57791614472906,19227.13854346702,72.38175328341151,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_124,20.79444681162316,48.569950872695166,41.05663756187599,6.320985310126507,52.076033514006255,19791.09964009968,82.10367113540887,1,Optimal,Optimal,Optimal,Optimal,0,0,0,0,0,0,0,0,0,No-Stress
Plant_125,26.76057128140081,76.33431532301096,45.33698839218069,6.430301399668383,53.07676653401114,22067.493371223005,95.3033456435441,1,Optimal,Optimal,High,Optimal,0,0,1,0,1,1,0,1,2,Combined
Plant_126,31.57136687742993,48.53654606981312,53.20678672762815,6.869826575862335,39.044806111544375,17949.097153140836,72.21905214167286,1,Optimal,High,Optimal,Optimal,0,1,0,0,1,0,0,0,1,Abiotic-only
